date,open,high,low,close,TR,ATR,CI,trend
2015.11.10,1.51132,1.51452,1.50914,1.51177,0.005380000000000162,0.010967857142857132,42.013265735034324,1
2015.11.11,1.51142,1.52203,1.51142,1.52099,0.010610000000000008,0.010730000000000002,42.8866784440705,1
2015.11.12,1.52065,1.5246,1.51739,1.52307,0.007209999999999939,0.010437857142857134,42.76690484429342,1
2015.11.13,1.52292,1.5263,1.51874,1.52277,0.007560000000000011,0.010429285714285697,42.693440103764175,1
2015.11.16,1.52249,1.52289,1.51811,1.51973,0.0047800000000000065,0.010227142857142832,42.65104921161489,1
2015.11.17,1.5197,1.52384,1.51541,1.52108,0.00843000000000016,0.010122857142857131,42.60393410679562,1
2015.11.18,1.52107,1.52485,1.51878,1.52358,0.00607000000000002,0.009990714285714282,42.53052730286935,1
2015.11.19,1.52358,1.53354,1.52263,1.52897,0.010909999999999975,0.009633571428571432,42.181970691610935,1
2015.11.20,1.52892,1.53094,1.5182,1.51905,0.012739999999999974,0.00987928571428571,46.49992114059683,1
2015.11.23,1.51846,1.51949,1.51087,1.51247,0.008620000000000072,0.009882857142857146,46.72691949408301,1
2015.11.24,1.51247,1.51553,1.50533,1.50755,0.010199999999999987,0.01000785714285714,51.11175516681007,1
2015.11.25,1.50758,1.51357,1.50556,1.51288,0.008010000000000073,0.009174285714285722,58.244045421781244,1
2015.11.26,1.51284,1.51303,1.50656,1.51016,0.006470000000000198,0.008265000000000031,59.277718700346306,1
2015.11.27,1.51011,1.51096,1.50279,1.50285,0.00817000000000001,0.008225714285714327,56.88308932482385,1
2015.11.30,1.50319,1.50684,1.49938,1.50554,0.007460000000000022,0.008374285714285747,52.17906905041825,1
2015.12.01,1.50546,1.51253,1.50505,1.50799,0.007479999999999931,0.008150714285714313,51.4501754146065,1
2015.12.02,1.50806,1.50819,1.48941,1.49504,0.01878000000000002,0.00897714285714289,41.327446117786174,1
2015.12.03,1.49512,1.51587,1.49036,1.51421,0.025510000000000144,0.010259285714285757,41.278368673620996,1
