date,symbol,volume,profit,PnL_per_lot,hour,day
2020-01-21 16:00:00,XAUUSD,76.02,3771.57,49.61,16:00:00,2020-01-21
2020-01-21 20:00:00,EURUSD,25.19,-444.95,-17.66,20:00:00,2020-01-21
2020-01-21 20:00:00,GBPUSD,10.65,-27.57,-2.59,20:00:00,2020-01-21
2020-01-21 20:00:00,USDJPY,6.7,428.95,64.02,20:00:00,2020-01-21
2020-01-21 20:00:00,XAUUSD,12.78,-383.64,-30.02,20:00:00,2020-01-21
2020-01-22 00:00:00,EURUSD,12.21,-125.82,-10.3,00:00:00,2020-01-22
2020-01-22 00:00:00,GBPUSD,13.13,312.36,23.79,00:00:00,2020-01-22
2020-01-22 00:00:00,USDJPY,5.7,102.21,17.93,00:00:00,2020-01-22
2020-01-22 00:00:00,XAUUSD,8.17,48.58,5.95,00:00:00,2020-01-22
2020-01-22 04:00:00,EURUSD,14.49,180.89,12.48,04:00:00,2020-01-22
2020-01-22 04:00:00,GBPUSD,15.95,337.64,21.17,04:00:00,2020-01-22
2020-01-22 04:00:00,USDJPY,8.38,228.78,27.3,04:00:00,2020-01-22
2020-01-22 04:00:00,XAUUSD,35.33,1211,34.28,04:00:00,2020-01-22
2020-01-22 08:00:00,EURUSD,264.76,487.76,1.84,08:00:00,2020-01-22
2020-01-22 08:00:00,GBPUSD,156.67,1538.92,9.82,08:00:00,2020-01-22
2020-01-22 08:00:00,USDJPY,19.85,375.41,18.91,08:00:00,2020-01-22
2020-01-22 08:00:00,XAUUSD,58.82,2598.57,44.18,08:00:00,2020-01-22
2020-01-22 12:00:00,EURUSD,209.3,-583.09,-2.79,12:00:00,2020-01-22
2020-01-22 12:00:00,GBPUSD,265.95,-47749.64,-179.54,12:00:00,2020-01-22
2020-01-22 12:00:00,USDJPY,14.33,-1140.6,-79.6,12:00:00,2020-01-22
2020-01-22 12:00:00,XAUUSD,49.05,3289.12,67.06,12:00:00,2020-01-22
2020-01-22 16:00:00,EURUSD,254.82,3270.53,12.83,16:00:00,2020-01-22
2020-01-22 16:00:00,GBPUSD,78.66,585.48,7.44,16:00:00,2020-01-22
2020-01-22 16:00:00,USDJPY,11.05,-4.74,-0.43,16:00:00,2020-01-22
2020-01-22 16:00:00,XAUUSD,55.13,2293.3,41.6,16:00:00,2020-01-22
2020-01-22 20:00:00,EURUSD,19.27,-406.57,-21.1,20:00:00,2020-01-22
2020-01-22 20:00:00,GBPUSD,5.97,-35.16,-5.89,20:00:00,2020-01-22
2020-01-22 20:00:00,USDJPY,1.62,2.45,1.51,20:00:00,2020-01-22
2020-01-22 20:00:00,XAUUSD,8.86,-233.95,-26.41,20:00:00,2020-01-22
2020-01-23 00:00:00,EURUSD,108.65,41.03,0.38,00:00:00,2020-01-23
2020-01-23 00:00:00,GBPUSD,21.22,-1850.06,-87.18,00:00:00,2020-01-23
2020-01-23 00:00:00,USDJPY,35.57,1597.28,44.91,00:00:00,2020-01-23
2020-01-23 00:00:00,XAUUSD,31.88,-191.73,-6.01,00:00:00,2020-01-23
2020-01-23 04:00:00,EURUSD,84.83,-538.69,-6.35,04:00:00,2020-01-23
2020-01-23 04:00:00,GBPUSD,51.18,987.55,19.3,04:00:00,2020-01-23
2020-01-23 04:00:00,USDJPY,22.7,1904.92,83.92,04:00:00,2020-01-23
2020-01-23 04:00:00,XAUUSD,15.51,626.09,40.37,04:00:00,2020-01-23
2020-01-23 08:00:00,EURUSD,154.81,401.91,2.6,08:00:00,2020-01-23
2020-01-23 08:00:00,GBPUSD,114.35,316.37,2.77,08:00:00,2020-01-23
2020-01-23 08:00:00,USDJPY,29.12,554.86,19.05,08:00:00,2020-01-23
2020-01-23 08:00:00,XAUUSD,99.37,5187.13,52.2,08:00:00,2020-01-23
2020-01-23 12:00:00,EURUSD,163.02,240.46,1.48,12:00:00,2020-01-23
2020-01-23 12:00:00,GBPUSD,67.71,52.8,0.78,12:00:00,2020-01-23
2020-01-23 12:00:00,USDJPY,17.73,356.29,20.1,12:00:00,2020-01-23
2020-01-23 12:00:00,XAUUSD,88.11,-16.43,-0.19,12:00:00,2020-01-23
2020-01-23 16:00:00,EURUSD,301.85,-22823.56,-75.61,16:00:00,2020-01-23
2020-01-23 16:00:00,GBPUSD,115.31,434.91,3.77,16:00:00,2020-01-23
2020-01-23 16:00:00,USDJPY,51.47,-597.34,-11.61,16:00:00,2020-01-23
2020-01-23 16:00:00,XAUUSD,155.18,-7885.98,-50.82,16:00:00,2020-01-23
2020-01-23 20:00:00,EURUSD,40.65,1869.2,45.98,20:00:00,2020-01-23
2020-01-23 20:00:00,GBPUSD,21.63,-35.33,-1.63,20:00:00,2020-01-23
2020-01-23 20:00:00,USDJPY,1.04,5.67,5.45,20:00:00,2020-01-23
2020-01-23 20:00:00,XAUUSD,25.93,818.56,31.57,20:00:00,2020-01-23
2020-01-24 00:00:00,EURUSD,29.46,1639.54,55.65,00:00:00,2020-01-24
