day,symbol_name,profit,volume,PnL/Lot,Coef,
9/16/2020,EURUSD,129649.55,14353.68,9.032495192,0.002379582,
9/17/2020,EURUSD,-61616.75,12087.6,-5.097517654,0.001732429,
9/18/2020,EURUSD,-15398.58,9787.22,-1.573335238,-0.002708972,
9/21/2020,EURUSD,-62772.03,13298.75,-4.720145399,0.003491042,
9/22/2020,EURUSD,-210329.92,12023.91,-17.4926395,0.005790778,
9/23/2020,EURUSD,-225675.13,13241.45,-17.04308301,0.004354532,
9/24/2020,EURUSD,-108011.88,11378.92,-9.492278621,0.00202631,
9/25/2020,EURUSD,-45711.59,10705.79,-4.269800398,0.000821175,
9/28/2020,EURUSD,26233.58,11913.14,2.202071214,0.000366935,
9/29/2020,EURUSD,-70639.43,12599.94,-5.606330478,-0.00483631,
9/30/2020,EURUSD,-3390.42,13159.09,-0.257648646,-0.001933331,
10/1/2020,EURUSD,31362.49,10884.06,2.881506334,-0.001055417,
10/2/2020,EURUSD,105720.23,12550.25,8.423754874,0.000971238,
10/5/2020,EURUSD,-132068.53,12669.85,-10.42384288,-0.001959288,
10/6/2020,EURUSD,94592.11,16488.69,5.736787322,-0.001142633,
10/7/2020,EURUSD,122318.93,11406.48,10.723635,0.001111574,
10/8/2020,EURUSD,79068.40,10856.64,7.282953414,-0.000740455,
10/9/2020,EURUSD,-217105.85,10834.94,-20.03756793,-0.00294,
10/12/2020,EURUSD,15183.51,9650.11,1.573403281,-0.001301636,
10/13/2020,EURUSD,19686.70,11694.52,1.683412363,0.002809488,
10/14/2020,EURUSD,-7517.31,10494.71,-0.716294913,0.002602967,
10/15/2020,EURUSD,13874.24,10120.03,1.370967944,0.001766803,
10/16/2020,EURUSD,55556.32,8613.63,6.449815491,0.000789005,
10/19/2020,EURUSD,-108082.74,11966.69,-9.031966136,-0.002706077,
10/20/2020,EURUSD,-288439.66,10570.78,-27.28650698,-0.00437593,
10/21/2020,EURUSD,-511119.98,9929.77,-51.47349676,-0.003939402,
10/22/2020,EURUSD,59158.59,9357.38,6.32213175,0.00058,
10/23/2020,EURUSD,-51518.56,8677.96,-5.936713437,0.000534338,
10/26/2020,EURUSD,110187.22,9722.42,11.33331165,0.001883279,
10/27/2020,EURUSD,121315.50,11581.61,10.47483873,0.002387593,
10/28/2020,EURUSD,-39477.54,11752.49,-3.359079138,0.003761516,
10/29/2020,EURUSD,-123953.97,12225.32,-10.13911903,0.004475162,
10/30/2020,EURUSD,-8685.91,10585.11,-0.820578375,0.0035407,
11/2/2020,EURUSD,-7778.33,10112.96,-0.769144608,0.002205263,
11/3/2020,EURUSD,-134099.61,12124.07,-11.0606099,-0.003500994,
11/4/2020,EURUSD,-6659.81,12878.3,-0.517133903,-0.001776495,
11/5/2020,EURUSD,-146949.84,12620.59,-11.64365821,-0.006582743,
11/6/2020,EURUSD,-47565.05,10628.44,-4.47526168,-0.005805278,
11/9/2020,EURUSD,-25969.22,16942.92,-1.532747409,-0.000601446,
11/10/2020,EURUSD,41175.09,11091.98,3.712149629,0.003517926,
11/11/2020,EURUSD,-4568.59,9979.6,-0.457792965,0.001642415,
11/12/2020,EURUSD,-20685.59,10660.77,-1.940346305,0.00021624,
11/13/2020,EURUSD,25206.94,8120.24,3.104210704,-0.002294332,
11/16/2020,EURUSD,52622.21,12446.69,4.227807547,-0.002160028,
11/17/2020,EURUSD,-41085.00,10969.51,-3.745381259,-0.001648723,
11/18/2020,EURUSD,88743.75,11481.22,7.729470098,-9.48E-05,
11/19/2020,EURUSD,14422.75,11461.85,1.258326617,0.00066382,
11/20/2020,EURUSD,122207.13,10885.76,11.22632959,-0.000953,
11/23/2020,EURUSD,-37879.02,15156.53,-2.499187843,0.001508439,
11/24/2020,EURUSD,86005.54,11536.69,7.454958009,-0.001388341,
11/25/2020,EURUSD,-60180.58,13308.58,-4.521938774,-0.003177379,
11/26/2020,EURUSD,-11957.66,10772.12,-1.110056737,-0.000817033,
11/27/2020,EURUSD,-288973.24,11103.51,-26.02539545,-0.00192654,
11/30/2020,EURUSD,-238316.84,15867.42,-15.01925583,-0.001411755,
12/1/2020,EURUSD,-1589270.39,15513.93,-102.4415083,-0.00387999,
12/2/2020,EURUSD,-714699.73,13050.6,-54.76374505,-0.00715076,
12/3/2020,EURUSD,-1104416.51,11560.81,-95.53106618,-0.00395,
12/4/2020,EURUSD,-197497.11,9860.7,-20.02871131,-0.000420368,
12/7/2020,EURUSD,-201296.34,10352.89,-19.44349226,0.001452132,
12/8/2020,EURUSD,18906.22,8262.76,2.28812355,0.000841605,
12/9/2020,EURUSD,-69355.42,9428.39,-7.356019909,0.001065279,
12/10/2020,EURUSD,62603.69,10191.44,6.142771837,-0.001281352,
12/11/2020,EURUSD,38233.89,7657.16,4.993220216,-0.001405619,
12/14/2020,EURUSD,50242.01,9189.57,5.467286429,-0.001059433,
12/15/2020,EURUSD,85050.16,9291.17,9.153869978,-0.000207956,
12/16/2020,EURUSD,-266015.43,11119.54,-23.92324097,-0.002198526,
12/17/2020,EURUSD,-510823.54,9614.79,-53.12893397,-0.004884481,
12/18/2020,EURUSD,89875.88,8726.97,10.29863521,-0.001772187,
12/21/2020,EURUSD,-216944.88,13079.65,-16.58644391,0.003466689,
12/22/2020,EURUSD,66627.25,10370.39,6.424757997,0.000730967,
12/23/2020,EURUSD,139580.08,9231.47,15.12002719,0.001768309,
12/24/2020,EURUSD,18992.27,5105.9,3.719671072,-0.000773851,
12/28/2020,EURUSD,156818.12,10377.3,15.11164985,-0.001939408,
12/29/2020,EURUSD,62200.90,11029.64,5.639431609,-0.002324834,
12/30/2020,EURUSD,-43787.25,11521.29,-3.800550547,-0.003333047,
12/31/2020,EURUSD,-7222.24,12191.18,-0.592415037,0.001448145,
1/4/2021,EURUSD,185147.61,13304.12,13.91656177,3.88E-05,
1/5/2021,EURUSD,121021.13,10848.65,11.15540955,-0.00138,
1/6/2021,EURUSD,7005.33,15585.81,0.449468406,-0.00279271,
1/7/2021,EURUSD,66306.67,11239.82,5.899264742,0.00091206,
1/8/2021,EURUSD,-29745.29,12696.23,-2.34284399,0.004515669,
1/11/2021,EURUSD,-124762.39,11954.91,-10.43607914,0.00504675,
1/12/2021,EURUSD,43600.61,11210.55,3.889248454,0.000332546,
1/13/2021,EURUSD,-10907.10,10338.57,-1.054990881,-0.000464076,
1/14/2021,EURUSD,-36236.78,12719.35,-2.8489488,0.002540973,
1/15/2021,EURUSD,-90473.45,9865.22,-9.170950984,0.002744986,
1/18/2021,EURUSD,-88019.39,8747.55,-10.06217676,0.00338,
1/19/2021,EURUSD,63116.63,11664.2,5.411141251,-0.002492717,
1/20/2021,EURUSD,-91216.82,12269.52,-7.434424235,-0.000888043,
1/21/2021,EURUSD,62490.26,11343.4,5.508953244,-0.001522777,
1/22/2021,EURUSD,77950.53,9935.69,7.845507431,-0.002748368,
1/25/2021,EURUSD,118980.27,11732.39,10.14117933,0.001319053,
1/26/2021,EURUSD,93778.51,10807.39,8.677257459,0.000584277,
1/27/2021,EURUSD,12623.28,16040.39,0.786968465,0.001628286,
