day,symbol,spread
2022-10-18,USDCHF.fix,0.00039999999999995595
2022-10-19,NZDUSD.fix,0.00039999999999995595
2022-10-21,USDCHF.fix,0.00039999999999995595
2022-10-23,EURUSD.fix,0.00019999999999997797
2022-11-07,XAUUSD.fix,0.79999999999995453
2022-11-10,USDCAD.fix,0.00039999999999995595
2022-11-27,USDCAD.fix,0.00039999999999995595
2022-12-09,EURJPY.fix,0.039999999999992042
2022-12-20,XAGUSD.fix,0.059999999999998721
2022-12-20,XAUUSD.fix,0.79999999999995453
2022-12-21,NZDUSD.fix,0.00039999999999995595
2022-12-22,XAGUSD.fix,0.059999999999998721
2022-12-23,XRPUSD.test,0.0009100000000000219
2023-02-15,XRPUSD.test,0.0010200000000000209
2023-02-23,XRPUSD.test,0.0010200000000000209
2022-08-08,GBPUSD.fix,0.00029999999999996696
2022-08-22,GBPJPY.fix,0.0800000000000125
2022-09-20,GBPJPY.fix,0.0800000000000125
2022-09-20,USDCAD.fix,0.00039999999999995595
2022-10-21,USDJPY.fix,0.030000000000001137
2022-10-24,USDJPY.fix,0.030000000000001137
2022-11-02,AUDUSD.fix,0.00039999999999995595
2022-11-13,EURJPY.fix,0.039999999999992042
2022-11-14,GBPJPY.fix,0.0800000000000125
2022-11-22,EURUSD.fix,0.00019999999999997797
2022-12-01,EURUSD.fix,0.00019999999999997797
2022-12-19,NZDUSD.fix,0.00039999999999995595
2022-12-29,XRPUSD.test,0.0010200000000000209
2023-01-24,XRPUSD.test,0.0010200000000000209
2023-01-30,XRPUSD.test,0.0010200000000000209
2022-08-17,NZDUSD.fix,0.00039999999999995595
2022-08-21,XAUUSD.fix,0.79999999999995453
2022-08-25,USDCAD.fix,0.00039999999999995595
2022-08-28,USDCHF.fix,0.00039999999999995595
2022-08-30,GBPUSD.fix,0.00029999999999996696
2022-09-06,GBPUSD.fix,0.00029999999999996696
2022-09-20,AUDUSD.fix,0.00039999999999995595
2022-09-30,USDJPY.fix,0.030000000000001137
2022-10-02,AUDUSD.fix,0.00039999999999995595
2022-10-02,USDCHF.fix,0.00039999999999995595
2022-10-06,USDJPY.fix,0.030000000000001137
2022-10-13,EURJPY.fix,0.039999999999992042
2022-10-18,XAUUSD.fix,0.79999999999995453
2022-10-19,GBPUSD.fix,0.00029999999999996696
2022-10-25,AUDUSD.fix,0.00039999999999995595
2022-11-09,USDJPY.fix,0.030000000000001137
2022-12-04,USDCAD.fix,0.00039999999999995595
2022-12-06,EURGBP.fix,0.00029999999999996696
2022-12-13,USDCHF.fix,0.00039999999999995595
2022-12-16,USDJPY.fix,0.030000000000001137
