date,open,high,low,close,trend
2019.08.08,106.251,106.296,105.887,106.064,1
2019.08.09,105.985,106.071,105.261,105.629,1
2019.08.12,105.577,105.686,105.043,105.299,1
2019.08.13,105.242,106.971,105.059,106.735,1
2019.08.14,106.746,106.746,105.645,105.906,1
2019.08.15,105.846,106.772,105.696,106.104,1
2019.08.16,106.058,106.488,106.021,106.342,1
2019.08.19,106.246,106.691,106.226,106.622,1
2019.08.20,106.615,106.685,106.156,106.218,1
2019.08.21,106.225,106.64,106.209,106.602,1
2019.08.22,106.579,106.644,106.246,106.434,0
2019.08.23,106.379,106.728,105.249,105.365,0
2019.08.26,104.988,106.408,104.444,106.112,0
2019.08.27,106.075,106.143,105.584,105.754,0
2019.08.28,105.699,106.222,105.645,106.108,0
2019.08.29,106.04,106.676,105.823,106.498,0
2019.08.30,106.483,106.538,106.096,106.25,0
2019.09.02,106.027,106.393,105.915,106.158,0
2019.09.03,106.193,106.379,105.728,105.941,0
2019.09.04,106.19,106.25,106.18,106.22,0
2019.09.05,106.379,107.224,106.319,106.943,0
2019.09.06,106.914,107.095,106.616,106.903,0
2019.09.09,106.838,107.072,106.755,107.031,0
2019.09.10,107.224,107.58,107.194,107.528,0
2019.09.11,107.494,107.85,107.48,107.802,0
2019.09.12,107.775,108.182,107.511,108.105,0
2019.09.13,108.056,108.254,107.899,108.05,0
2019.09.16,107.548,108.161,107.49,108.137,0
2019.09.17,108.144,108.36,108.015,108.104,0
2019.09.18,108.105,108.471,108.078,108.442,0
2019.09.19,108.412,108.465,107.782,108.047,0
2019.09.20,107.956,108.08,107.52,107.547,0
2019.09.23,107.703,107.762,107.305,107.528,0
2019.09.24,107.519,107.789,106.954,107.071,0
2019.09.25,107.016,107.877,106.993,107.755,0
2019.09.26,107.745,107.953,107.415,107.83,0
2019.09.27,107.81,108.175,107.65,107.925,0
2019.09.30,107.965,108.173,107.738,108.06,0
2019.10.01,108.065,108.466,107.621,107.742,0
2019.10.02,107.715,107.886,107.041,107.171,0
2019.10.03,107.172,107.292,106.473,106.898,0
2019.10.04,106.903,107.128,106.553,106.901,0
2019.10.07,106.674,107.46,106.646,107.25,0
2019.10.08,107.232,107.439,106.798,107.075,0
2019.10.09,107.047,107.62,106.928,107.469,0
2019.10.10,107.447,108.012,107.029,107.936,0
2019.10.11,107.94,108.624,107.842,108.434,0
2019.10.14,108.309,108.517,108.026,108.388,0
2019.10.15,108.382,108.894,108.15,108.855,0
2019.10.16,108.842,108.86,108.552,108.751,0
2019.10.17,108.715,108.933,108.448,108.631,0
2019.10.18,108.614,108.717,108.375,108.375,0
2019.10.21,108.427,108.658,108.283,108.594,0
2019.10.22,108.57,108.723,108.435,108.475,0
2019.10.23,108.453,108.698,108.243,108.686,0
2019.10.24,108.669,108.748,108.491,108.623,0
2019.10.25,108.596,108.768,108.505,108.667,0
2019.10.28,108.709,109.033,108.653,108.969,0
2019.10.29,108.97,109.064,108.744,108.88,0
2019.10.30,108.881,109.281,108.715,108.849,0
2019.10.31,108.851,108.874,107.921,108.015,0
2019.11.01,108.017,108.318,107.88,108.16,0
2019.11.04,108.217,108.644,108.187,108.571,0
2019.11.05,108.563,109.236,108.528,109.166,0
2019.11.06,109.15,109.177,108.812,108.972,0
2019.11.07,108.962,109.482,108.641,109.263,0
2019.11.08,109.321,109.47,109.069,109.205,0
2019.11.11,109.205,109.248,108.891,109.033,0
2019.11.12,109.043,109.287,108.918,109.02,0
2019.11.13,108.992,109.144,108.65,108.806,0
2019.11.14,108.772,108.857,108.228,108.397,0
2019.11.15,108.372,108.851,108.355,108.757,0
2019.11.18,108.784,109.066,108.507,108.668,0
2019.11.19,108.654,108.831,108.447,108.534,0
2019.11.20,108.524,108.733,108.34,108.607,0
2019.11.21,108.571,108.692,108.271,108.602,0
2019.11.22,108.602,108.726,108.471,108.62,0
2019.11.25,108.646,108.974,108.606,108.917,0
2019.11.26,108.879,109.203,108.87,109.06,0
2019.11.27,109.006,109.604,109.004,109.521,0
2019.11.28,109.497,109.546,109.327,109.492,0
2019.11.29,109.497,109.663,109.391,109.464,0
2019.12.02,109.509,109.722,108.919,108.964,0
2019.12.03,108.962,109.202,108.478,108.628,0
2019.12.04,108.599,108.957,108.422,108.86,0
2019.12.05,108.846,108.995,108.649,108.752,0
2019.12.06,108.734,108.915,108.497,108.531,0
2019.12.09,108.625,108.671,108.425,108.54,0
2019.12.10,108.554,108.762,108.508,108.739,0
2019.12.11,108.726,108.851,108.459,108.548,0
2019.12.12,108.512,109.445,108.449,109.302,0
2019.12.13,109.353,109.702,109.155,109.341,0
2019.12.16,109.251,109.671,109.251,109.556,0
2019.12.17,109.527,109.625,109.437,109.488,0
2019.12.18,109.489,109.622,109.392,109.569,0
2019.12.19,109.544,109.681,109.176,109.345,0
2019.12.20,109.347,109.521,109.251,109.435,1
2019.12.23,109.422,109.532,109.334,109.366,1
2019.12.24,109.35,109.436,109.321,109.364,1
2019.12.26,109.367,109.68,109.354,109.632,1
2019.12.27,109.542,109.591,109.384,109.408,1
2019.12.30,109.395,109.48,108.763,108.87,1
2019.12.31,108.867,108.88,108.464,108.632,1
2020.01.02,108.602,108.86,108.206,108.552,1
2020.01.03,108.539,108.623,107.835,108.085,1
2020.01.06,107.884,108.5,107.765,108.369,1
2020.01.07,108.343,108.624,108.255,108.451,1
2020.01.08,108.44,109.237,107.645,109.126,1
2020.01.09,109.08,109.576,109.006,109.512,1
2020.01.10,109.506,109.685,109.431,109.457,1
2020.01.13,109.514,109.94,109.497,109.935,1
2020.01.14,109.912,110.208,109.847,109.989,1
2020.01.15,109.952,110.004,109.783,109.894,1
2020.01.16,109.884,110.173,109.847,110.155,1
2020.01.17,110.149,110.284,110.042,110.13,1
2020.01.20,110.072,110.211,110.072,110.172,0
2020.01.21,110.167,110.216,109.756,109.867,0
2020.01.22,109.842,110.092,109.821,109.835,0
2020.01.23,109.823,109.853,109.259,109.485,0
2020.01.24,109.475,109.647,109.166,109.251,0
2020.01.27,108.95,109.132,108.725,108.891,0
2020.01.28,108.885,109.196,108.75,109.138,0
2020.01.29,109.14,109.26,108.97,109.013,0
2020.01.30,108.963,109.06,108.575,108.925,0
2020.01.31,108.929,109.13,108.303,108.321,0
2020.02.03,108.392,108.793,108.305,108.662,0
2020.02.04,108.657,109.539,108.543,109.516,0
